follower id,screen name,tweets,total followers,followers list,first degree follower,first degree friend,second degree follower,second degree friend
1461058610,JDeano24,9,16,,True,False,False,False
83409066,EricBen24,790,310,,True,False,False,False
1122257894,G_Tavares1,144,69,,True,False,False,False
21621749,BeefEnt,93756,313363,,True,False,False,False
2150067363,s122051,0,0,,True,False,False,False
2974110519,sjacona4,164,21,,True,False,False,False
63350702,martharoddy,2,2,,True,False,False,False
481393516,RyanOLearySMG,8000,2094,,True,False,False,False
761622996939370496,TrumLittleLeag,4,5,,True,False,False,False
2862603029,Super_Cali1,18,61,,True,False,False,False
950643511,firewheels12,629,54,,True,False,False,False
805829088,CGazzelli,0,1,,True,False,False,False
384116595,jknott3,0,1,,True,False,False,False
26393452,stacybritt,784,62,,True,False,False,False
4548559354,CFDNY111,21,32,,True,False,False,False
15917588,Nonsequitarian,197,78,,True,False,False,False
3407453271,emidurgs,18,22,,True,False,False,False
762731500626403328,Qsports,0,1,,True,False,False,False
762360260707381248,ajmarshall72,7,3,,True,False,False,False
9463462,JohnGar67,4908,225,,True,False,False,False
46328997,confessionkills,4696,37262,,True,False,False,False
289478483,emanuel_eliz,2442,199,,True,False,False,False
922282736,sbissitt123,8274,684,,True,False,False,False
148097245,heatherseavey,321,277,,True,False,False,False
352717617,JamesOJ11,519,63,,True,False,False,False
367495824,tgriff4,77,26,,True,False,False,False
619205945,Pushmyn,904,117,,True,False,False,False
277149477,MEBaseballReprt,20,510,,True,False,False,False
577220794,BrentTruchon,153,58,,True,False,False,False
1135397089,williammccoach,2,26,,True,False,False,False
16456057,caringnurse,20,25,,True,False,False,False
382049603,mikecav5,4287,354,,True,False,False,False
3293376424,Dannygravy,850,343,,True,False,False,False
285079547,joeskiws19,109,26,,True,False,False,False
14994750,choebear,467,128,,True,False,False,False
3901218016,CynLou711,0,8,,True,False,False,False
504904410,Kim_Nicasio,38,5,,True,False,False,False
4373879074,NJDistrict12,284,96,,True,False,False,False
761562536235962368,krissydigits,1,0,,True,False,False,False
8563652,ViniVidiVici,98,98,,True,False,False,False
75790545,ctash124,3,87,,True,False,False,False
