BioguideID,Veterans Mentions
S000033,266
D000563,134
M001144,132
B001285,93
C001048,92
M001149,89
R000146,82
C000141,80
B000911,76
G000552,57
V000128,54
T000468,51
C001077,49
M001111,49
H001041,45
B000243,44
L000565,43
B001277,40
L000261,39
T000250,38
C001035,37
E000292,35
M000312,35
M000702,35
C001098,34
D000607,34
M000355,34
L000577,33
M000934,33
U000038,32
W000791,32
F000030,31
G000562,31
I000055,31
R000594,31
K000368,30
T000472,30
H001038,29
P000197,29
R000577,29
C001059,28
K000375,28
K000382,28
S000770,28
D000620,27
E000179,27
L000551,27
R000395,27
T000464,27
B001271,26
D000622,26
G000572,26
H000206,26
R000598,26
S001141,26
T000470,26
H001055,24
B000574,23
C001070,23
D000598,23
P000523,23
C001078,22
H000324,22
S001193,22
W000672,22
C001090,21
L000480,21
M000404,21
S001191,21
B001265,20
B001279,20
C001095,20
F000461,20
H001049,20
M001143,19
M001176,19
B001135,18
D000216,18
F000449,18
G000571,18
G000550,17
H000338,17
S001150,17
C001083,16
F000463,16
H001042,16
K000384,16
R000593,16
W000779,16
W000815,16
B001244,15
C000059,15
C000560,15
C000984,15
F000462,15
M001191,15
B001242,14
C001097,14
H001066,14
K000009,14
L000562,14
M001166,14
N000187,14
C001084,13
J000177,13
M000689,13
P000597,13
W000806,13
W000810,13
Y000065,13
B001236,12
B001286,12
C000567,12
C001088,12
D000191,12
D000612,12
F000454,12
H000874,12
L000550,12
P000598,12
R000122,12
B001261,11
F000062,11
K000376,11
S000148,11
S000480,11
S001145,11
S001187,11
W000813,11
Y000031,11
B001283,10
F000010,10
F000457,10
G000556,10
H001034,10
L000174,10
A000369,9
B001257,9
B001259,9
C001093,9
F000455,9
K000360,9
K000381,9
L000111,9
L000491,9
M001165,9
M001169,9
P000449,9
P000607,9
R000583,9
T000467,9
V000130,9
W000816,9
B000711,8
B001280,8
B001281,8
C000542,8
C001056,8
D000610,8
D000621,8
F000451,8
H001053,8
H001063,8
I000056,8
L000263,8
L000564,8
M001160,8
N000032,8
P000608,8
R000053,8
R000572,8
R000591,8
S001176,8
S001186,8
Y000033,8
B001274,7
C001094,7
G000555,7
J000255,7
J000292,7
K000362,7
M001171,7
M001187,7
O000169,7
P000592,7
S000583,7
S001184,7
S001190,7
T000460,7
A000210,6
C001047,6
C001063,6
C001066,6
D000399,6
E000288,6
G000567,6
H000067,6
H000329,6
H001032,6
H001050,6
L000576,6
M001177,6
P000594,6
R000580,6
R000592,6
S001170,6
S001181,6
T000461,6
U000039,6
W000795,6
Y000063,6
Y000064,6
A000368,5
B000013,5
B000213,5
B000944,5
B001282,5
B001284,5
C000537,5
C001036,5
C001038,5
C001080,5
D000618,5
F000450,5
G000386,5
H001057,5
M000639,5
M001153,5
P000590,5
R000486,5
R000586,5
S001148,5
T000193,5
V000131,5
W000797,5
W000802,5
B000575,4
B001243,4
B001251,4
C001051,4
D000355,4
D000616,4
E000285,4
G000564,4
I000057,4
K000220,4
K000383,4
L000397,4
M000303,4
M000485,4
N000186,4
T000238,4
W000187,4
W000805,4
W000812,4
A000360,3
B001273,3
B001287,3
C000174,3
C000754,3
C001068,3
C001069,3
C001087,3
D000600,3
F000043,3
F000372,3
G000289,3
G000551,3
G000559,3
H001064,3
H001065,3
H001069,3
K000367,3
L000559,3
M000933,3
N000147,3
N000185,3
P000373,3
Q000023,3
R000435,3
S000248,3
S000250,3
S001175,3
T000266,3
T000463,3
V000108,3
V000127,3
V000129,3
W000207,3
W000799,3
W000817,3
B000755,2
B001230,2
B001260,2
B001267,2
B001269,2
C001062,2
E000293,2
F000448,2
G000535,2
H000636,2
H001046,2
H001058,2
H001059,2
H001067,2
J000289,2
J000294,2
L000557,2
L000567,2
L000569,2
M001150,2
M001151,2
M001158,2
M001189,2
P000034,2
P000595,2
P000599,2
P000605,2
R000487,2
R000575,2
R000585,2
R000589,2
R000596,2
S000185,2
S000364,2
S001192,2
T000459,2
V000081,2
W000804,2
W000809,2
B001245,1
B001248,1
B001256,1
B001262,1
B001278,1
C000266,1
C000380,1
C000880,1
C001037,1
C001046,1
C001049,1
C001053,1
C001067,1
C001091,1
C001092,1
D000482,1
D000604,1
D000615,1
E000215,1
E000290,1
E000291,1
G000546,1
H001047,1
H001048,1
H001051,1
H001052,1
H001060,1
H001068,1
J000288,1
K000148,1
K000380,1
L000123,1
L000287,1
L000578,1
L000579,1
M000309,1
M000508,1
M001159,1
M001170,1
M001180,1
M001182,1
M001188,1
N000002,1
N000015,1
N000182,1
P000258,1
P000601,1
P000603,1
R000307,1
R000578,1
S000018,1
S000320,1
S000510,1
S001165,1
S001188,1
U000031,1
V000132,1
W000215,1
W000413,1
W000796,1
W000798,1
W000800,1
W000808,1
W000814,1
