Title,Date,Number of Signatures,Issue Tags
Formally Recognize The Ku Klux Klan As A Terrorist Organization,10-Jul-16,115599,"Civil Rights & Equality, Gun Violence, Homeland Security & Defense"
Rescind the decision to deploy THAAD antimissile system in South Korea.,15-Jul-16,106754,Foreign Policy
"August 15th is NOT Independence Day For Sikhs. SUPPORT the Liberation of Indian Occupied Punjab to Create ""KHALISTAN"".",10-Jul-16,104025,Foreign Policy
No Respite for Highly-skilled Americans-in-Waiting. Need Portable Work Authorization & Recapture 500K Green Cards,11-Jul-16,102559,"Civil Rights & Equality, Homeland Security & Defense, Immigration"
I would like our government to stop providing a safe haven to Fethullah Gulen  and I want him delivered to Turkey,17-Jul-16,100980,"Civil Rights & Equality, Foreign Policy, Immigration"
"CHARGE Donald J. Trump, 18 U.S. Code § 2381 - TREASON",27-Jul-16,30230,"Foreign Policy, Homeland Security & Defense"
"Human Rights Violation by Hong Kong Government, request US Government impose int'l sanctions on HK and CHINA Government",2-Aug-16,20238,"Foreign Policy, Homeland Security & Defense, Immigration"
Stop construction of the Dakota Access Pipeline which endangers the water supply to Native American reservations.,15-Aug-16,12464,"Civil Rights & Equality, Energy & Environment, Rural Policy"
STOP federal fumigation of 3.5 American citizens in Puerto Rico with pesticide Naled as effort to combat Zika virus.,21-Jul-16,11513,"Civil Rights & Equality, Energy & Environment, Health Care"
Disavow support for the Clinton political dynasty. Disqualify and remove Hillary Clinton from 2016 Presidential Ballot,2-Aug-16,10889,"Civil Rights & Equality, Government & Regulatory Reform, Homeland Security & Defense"
Free Artem Vaulin,21-Jul-16,6920,"Homeland Security & Defense, Innovation: Arts & Technology, Technology & Innovation"
Remove Gunsmithing from ITAR.,6-Aug-16,6869,"Budget & Taxes, Economy & Jobs, Homeland Security & Defense"
Grant Immediate Asylum to Gulen Followers in the U.S. or entering the U.S. Fleeing Turkey,24-Jul-16,5243,"Civil Rights & Equality, Foreign Policy, Immigration"
CMS NEEDS TO ENSURE TRANSPARENCY IN ITS ROBUST BUSINESS RELATIONSHIP WITH THE LARGE PHARMACY BENEFIT MANAGERS (PBMS),26-Jul-16,4965,"Government & Regulatory Reform, Health Care, Veterans & Military"
"Honor fallen Border Patrol Agent Javier ""Harvey"" Vega Jr. for his sacrifice with a Line of Duty Death (LODD) designation",1-Aug-16,4085,"Homeland Security & Defense, Immigration"
Request The Commission On Presidential Debates To Allow Gary Johnson And Jill Stein Into The Presidential Debates,27-Jul-16,3367,Government & Regulatory Reform
Have EA make Skate 4,12-Aug-16,2495,"Innovation: Arts & Technology, Technology & Innovation"
Pick our Presidents with Paper,29-Jul-16,2465,"Civil Rights & Equality, Government & Regulatory Reform, Technology & Innovation"
"Petition to nominate Paisley Park, residence and studio of Prince Rogers Nelson as a National Historic Landmark",1-Aug-16,2459,"Education, Innovation: Arts & Technology"
We need an independent investigation into the massive election fraud during the Democratic Primaries.,8-Aug-16,2410,"Civil Rights & Equality, Government & Regulatory Reform"
